Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,State,Poverty Rate
05762,513.0,39.2,58558.0,24235.0,50.0,15.0,9.746588693957115
05763,2715.0,43.9,54968.0,29674.0,488.0,89.0,17.974217311233886
05764,3370.0,41.3,44468.0,22651.0,323.0,71.0,9.584569732937686
05765,1632.0,46.7,56771.0,30786.0,85.0,29.0,5.208333333333333
05766,598.0,45.9,52250.0,33227.0,76.0,0.0,12.709030100334449
05767,1053.0,50.2,46193.0,30351.0,97.0,5.0,9.211775878442545
05769,1192.0,45.2,57500.0,26407.0,88.0,33.0,7.382550335570469
05770,1038.0,49.6,71667.0,34765.0,89.0,18.0,8.574181117533719
05772,656.0,50.0,54271.0,33247.0,76.0,2.0,11.585365853658537
05773,2281.0,47.8,51942.0,29896.0,209.0,10.0,9.16264796142043
05774,1012.0,53.7,49375.0,30679.0,86.0,25.0,8.49802371541502
05775,495.0,42.2,34659.0,19602.0,128.0,9.0,25.858585858585858
05776,630.0,54.7,57981.0,32876.0,24.0,11.0,3.8095238095238093
05777,3357.0,46.1,58214.0,27476.0,322.0,35.0,9.591897527554364
05778,721.0,43.9,51029.0,26094.0,93.0,5.0,12.89875173370319
05819,9655.0,45.3,46166.0,25208.0,1015.0,136.0,10.512687726566545
05820,544.0,48.8,37386.0,23091.0,74.0,3.0,13.602941176470589
05821,1081.0,53.2,61522.0,31981.0,65.0,16.0,6.012950971322849
05822,1615.0,52.6,36667.0,23861.0,280.0,17.0,17.3374613003096
05824,1190.0,44.2,47188.0,23252.0,113.0,27.0,9.495798319327731
05825,134.0,40.5,62083.0,28772.0,9.0,0.0,6.7164179104477615
05826,886.0,42.2,56458.0,27294.0,42.0,0.0,4.74040632054176
05827,357.0,43.5,47500.0,20092.0,51.0,4.0,14.285714285714286
05828,1893.0,50.4,55000.0,32827.0,156.0,21.0,8.240887480190175
05829,1754.0,51.6,39402.0,24194.0,228.0,31.0,12.998859749144811
05830,1515.0,46.6,50948.0,29429.0,182.0,39.0,12.013201320132014
05832,835.0,44.7,59107.0,27765.0,38.0,8.0,4.550898203592815
05833,269.0,44.3,56750.0,20907.0,41.0,3.0,15.241635687732343
05836,1193.0,43.1,54896.0,25332.0,165.0,41.0,13.830678960603521
05837,372.0,50.5,42308.0,21393.0,45.0,8.0,12.096774193548388
05839,705.0,53.2,44659.0,24261.0,113.0,17.0,16.02836879432624
05841,389.0,62.7,63839.0,42543.0,24.0,15.0,6.169665809768637
05842,486.0,42.2,45313.0,22640.0,95.0,0.0,19.54732510288066
05843,2480.0,46.2,41853.0,24179.0,232.0,28.0,9.35483870967742
05845,1170.0,43.8,38611.0,19616.0,154.0,3.0,13.162393162393162
05846,996.0,45.1,35109.0,19403.0,217.0,14.0,21.78714859437751
05847,905.0,40.3,57727.0,22983.0,78.0,2.0,8.61878453038674
05850,218.0,42.1,-666666666.0,23710.0,108.0,0.0,49.54128440366973
05851,6635.0,36.1,40629.0,21827.0,1165.0,98.0,17.55840241145441
05853,530.0,58.6,37188.0,32604.0,78.0,25.0,14.716981132075471
05855,7209.0,40.7,41364.0,23283.0,1171.0,147.0,16.243584408378418
05857,1988.0,48.5,55568.0,25268.0,226.0,31.0,11.368209255533198
05858,397.0,50.1,48500.0,26723.0,48.0,10.0,12.090680100755668
05859,1911.0,38.7,41786.0,20622.0,257.0,33.0,13.448456305599162
05860,2677.0,39.4,45000.0,20025.0,494.0,69.0,18.45349271572656
05862,352.0,45.5,49286.0,24884.0,34.0,11.0,9.659090909090908
05866,657.0,43.7,44464.0,24000.0,76.0,0.0,11.567732115677321
05867,836.0,44.1,49583.0,23223.0,94.0,0.0,11.24401913875598
05868,351.0,47.1,39327.0,25497.0,51.0,0.0,14.52991452991453
05871,1403.0,44.4,47644.0,22489.0,230.0,15.0,16.39344262295082
05872,824.0,50.3,38594.0,25406.0,84.0,27.0,10.194174757281553
05873,740.0,46.1,56250.0,27602.0,29.0,29.0,3.918918918918919
05874,492.0,45.1,52614.0,29896.0,44.0,9.0,8.94308943089431
05875,559.0,47.0,58611.0,35926.0,80.0,3.0,14.311270125223613
05901,19.0,67.8,45625.0,22705.0,2.0,0.0,10.526315789473685
05902,232.0,54.0,30938.0,18400.0,50.0,7.0,21.551724137931036
05903,990.0,45.5,46071.0,22365.0,173.0,15.0,17.474747474747474
05904,188.0,51.2,20515.0,16172.0,60.0,7.0,31.914893617021278
05905,726.0,57.1,40625.0,29294.0,62.0,55.0,8.539944903581267
05906,1259.0,48.8,40673.0,19862.0,145.0,54.0,11.517077045274027
05907,143.0,54.8,47857.0,25534.0,12.0,15.0,8.391608391608392
06001,18617.0,45.9,122666.0,67261.0,479.0,266.0,2.5729172261911155
06002,20687.0,49.4,74107.0,40162.0,1347.0,367.0,6.511335621404747
06010,60437.0,41.2,61551.0,32374.0,6144.0,2217.0,10.165957939672717
06013,9540.0,44.0,117069.0,49997.0,159.0,102.0,1.6666666666666667
06016,6732.0,38.6,83300.0,37720.0,470.0,104.0,6.981580510992275
06018,2689.0,42.4,73409.0,31935.0,124.0,59.0,4.611379695053923
06019,10289.0,46.9,87394.0,49022.0,300.0,341.0,2.9157352512391874
06020,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
06021,400.0,41.1,66071.0,28319.0,14.0,6.0,3.5
06022,30.0,28.1,-666666666.0,75267.0,0.0,0.0,0.0
06023,1278.0,36.6,89044.0,37334.0,64.0,0.0,5.007824726134586
06024,587.0,55.0,82396.0,38304.0,33.0,8.0,5.621805792163544
06026,5194.0,44.5,89449.0,40122.0,109.0,26.0,2.098575279168271
06027,1456.0,50.9,81563.0,37919.0,81.0,48.0,5.563186813186813
06029,15733.0,42.1,79559.0,42793.0,508.0,366.0,3.228881967838302
06031,1384.0,51.5,85878.0,59695.0,52.0,61.0,3.7572254335260116
06032,17623.0,43.8,97803.0,58109.0,1121.0,236.0,6.361005504170686
06033,28659.0,44.9,102339.0,55326.0,1050.0,512.0,3.663770543284832
06035,7956.0,47.7,99359.0,50153.0,236.0,179.0,2.9663147310206135
06037,19251.0,47.2,96550.0,43948.0,626.0,322.0,3.2517791283569686
06039,1784.0,50.3,71442.0,55128.0,66.0,32.0,3.6995515695067263
06040,35616.0,34.8,61193.0,31028.0,5313.0,2210.0,14.91745283018868
06042,22457.0,35.6,73054.0,35917.0,1619.0,978.0,7.2093333927060606
06043,4950.0,46.9,91087.0,49577.0,156.0,149.0,3.1515151515151514
06051,30138.0,32.3,30955.0,17160.0,9279.0,1984.0,30.78837348198288
06052,8231.0,38.4,63317.0,32223.0,801.0,503.0,9.731502855060139
06053,34531.0,34.4,48942.0,23963.0,5971.0,1897.0,17.29170889924995
06057,6241.0,44.4,96633.0,40663.0,90.0,69.0,1.4420765902900177
06058,1535.0,54.3,74946.0,46748.0,73.0,33.0,4.755700325732899
06059,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
06060,2326.0,41.3,131558.0,45956.0,38.0,38.0,1.6337059329320722
06061,98.0,42.7,-666666666.0,28130.0,0.0,17.0,0.0
06062,17772.0,41.4,61907.0,32839.0,1381.0,817.0,7.770650461399955
06063,3124.0,45.0,106957.0,41935.0,63.0,69.0,2.0166453265044813
06065,802.0,49.1,95139.0,39458.0,67.0,15.0,8.354114713216958
06066,29206.0,39.5,61190.0,35125.0,2629.0,441.0,9.001575018831748
06067,19920.0,43.8,81988.0,43921.0,1422.0,494.0,7.13855421686747
06068,1682.0,57.1,71154.0,40984.0,125.0,42.0,7.431629013079667
06069,2444.0,59.0,82500.0,64944.0,249.0,46.0,10.188216039279869
06070,14996.0,46.1,110995.0,54063.0,645.0,160.0,4.3011469725260065
06071,11533.0,44.4,94897.0,34983.0,399.0,118.0,3.459637561779242
06073,5975.0,45.6,153519.0,72238.0,239.0,82.0,4.0
06074,25793.0,43.6,100122.0,46758.0,761.0,275.0,2.950412902725546
06076,12620.0,41.7,66176.0,32366.0,1313.0,288.0,10.404120443740094
06078,12370.0,41.4,97434.0,41488.0,756.0,189.0,6.111560226354082
06081,1339.0,40.3,71528.0,39478.0,89.0,67.0,6.6467513069454816
06082,44515.0,41.0,71526.0,31387.0,3347.0,890.0,7.518813882960799
06084,14985.0,42.3,109157.0,46447.0,371.0,73.0,2.4758091424758093
06085,7551.0,42.5,94565.0,43755.0,415.0,115.0,5.495960799894053
06088,4661.0,46.9,67801.0,33464.0,103.0,146.0,2.209826217549882
06089,3514.0,39.2,98594.0,51058.0,54.0,71.0,1.5367103016505408
06090,1077.0,49.9,143083.0,57746.0,65.0,42.0,6.035283194057567
06091,152.0,32.6,-666666666.0,29626.0,0.0,32.0,0.0
06092,4166.0,47.0,139464.0,61944.0,34.0,34.0,0.8161305808929429
06093,3248.0,45.4,107963.0,44932.0,36.0,101.0,1.1083743842364533
06095,29166.0,42.8,82464.0,37102.0,1653.0,816.0,5.667558115614071
06096,12537.0,44.6,66494.0,36587.0,807.0,414.0,6.436946637951663
06098,12666.0,46.3,61113.0,30479.0,1736.0,430.0,13.705984525501343
06103,1490.0,33.8,83048.0,69842.0,151.0,40.0,10.134228187919463
06105,19165.0,34.3,31920.0,27883.0,5119.0,1181.0,26.710148708583354
06106,38010.0,30.2,28529.0,16532.0,13128.0,1783.0,34.538279400157855
06107,18855.0,44.2,117038.0,59369.0,871.0,1249.0,4.6194643330681515
06108,25272.0,35.3,46902.0,22596.0,4407.0,933.0,17.438271604938272
06109,26396.0,45.0,78371.0,39368.0,1338.0,940.0,5.068949840884983
06110,12110.0,39.8,64300.0,34226.0,1440.0,750.0,11.890999174236168
06111,30590.0,44.5,80315.0,38255.0,1297.0,906.0,4.239947695325269
06112,22891.0,29.4,36145.0,17151.0,5673.0,1577.0,24.782665676466735
06114,28131.0,30.0,34410.0,17231.0,8129.0,962.0,28.896946429206213
06117,16788.0,42.3,118773.0,58737.0,842.0,530.0,5.015487252799619
06118,25605.0,40.8,52729.0,27992.0,2767.0,1303.0,10.806483108767818
06119,15921.0,37.1,80884.0,45213.0,1483.0,837.0,9.314741536335656
06120,14120.0,28.6,24080.0,11639.0,5324.0,484.0,37.70538243626062
06160,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
06226,19667.0,26.6,32849.0,15661.0,5244.0,489.0,26.66395484822291
06231,3772.0,44.2,113922.0,43805.0,92.0,45.0,2.4390243902439024
06232,3211.0,45.3,100724.0,41514.0,17.0,128.0,0.5294300840859545
06234,8304.0,43.1,74327.0,28951.0,860.0,127.0,10.35645472061657
06235,2265.0,45.1,88031.0,33790.0,136.0,34.0,6.004415011037527
06237,5456.0,48.9,92981.0,40835.0,160.0,89.0,2.932551319648094
06238,12446.0,44.0,88967.0,41516.0,393.0,471.0,3.1576410091595695
06239,10868.0,41.5,52530.0,27155.0,1425.0,302.0,13.111888111888112
06241,6830.0,40.5,70489.0,31469.0,535.0,78.0,7.833089311859443
06242,1374.0,42.7,80469.0,35563.0,40.0,31.0,2.911208151382824
06243,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
06247,2772.0,46.5,74436.0,33397.0,97.0,42.0,3.4992784992784993
06248,5808.0,43.1,108529.0,45895.0,95.0,0.0,1.6356749311294765
06249,7259.0,45.0,88125.0,37369.0,416.0,7.0,5.730816916930706
06250,4851.0,39.5,81860.0,39534.0,257.0,67.0,5.297876726448155
06254,1965.0,48.6,93438.0,41253.0,118.0,47.0,6.005089058524173
06255,4619.0,41.0,62398.0,28532.0,376.0,158.0,8.140290106083567
06256,2445.0,41.1,54057.0,24737.0,276.0,61.0,11.28834355828221
06259,4394.0,43.8,87244.0,42517.0,162.0,19.0,3.686845698680018
06260,9382.0,43.0,52449.0,27722.0,901.0,275.0,9.60349605627798
06262,750.0,52.0,57889.0,31738.0,64.0,30.0,8.533333333333333
06263,278.0,29.5,43427.0,23996.0,25.0,0.0,8.992805755395683
06264,77.0,66.9,84063.0,30444.0,0.0,0.0,0.0
06266,355.0,27.0,56420.0,27642.0,22.0,0.0,6.197183098591549
06268,10800.0,22.2,51398.0,27488.0,1763.0,156.0,16.324074074074073
06269,10113.0,20.0,-666666666.0,3468.0,0.0,0.0,0.0
06277,3911.0,45.9,76867.0,37582.0,253.0,113.0,6.468933776527742
06278,4405.0,44.2,77619.0,36014.0,388.0,63.0,8.80817253121453
06279,5927.0,37.0,72237.0,39056.0,901.0,43.0,15.20161970642821
06280,3122.0,49.9,62542.0,33691.0,131.0,171.0,4.196028187059577
06281,6827.0,47.5,91582.0,39748.0,158.0,69.0,2.3143401201113227
06282,1117.0,48.1,50288.0,28310.0,80.0,38.0,7.162041181736795
06320,27270.0,30.6,35400.0,21625.0,6571.0,618.0,24.096076274294095
06330,3261.0,41.5,67083.0,31261.0,248.0,47.0,7.605029132168046
06331,5078.0,43.3,81496.0,31856.0,253.0,68.0,4.982276486805829
06332,417.0,33.2,-666666666.0,35603.0,0.0,0.0,0.0
06333,6906.0,44.7,112500.0,46287.0,224.0,26.0,3.2435563278308717
06334,2538.0,48.1,84138.0,36836.0,109.0,36.0,4.29472025216706
06335,6722.0,43.9,91152.0,42483.0,282.0,46.0,4.19518000595061
06336,85.0,34.1,-666666666.0,38958.0,0.0,0.0,0.0
06339,8222.0,40.3,80725.0,39415.0,304.0,37.0,3.69739722695208
06340,31467.0,30.9,60649.0,32228.0,2683.0,992.0,8.526392728890583
06350,59.0,60.6,72604.0,53541.0,0.0,0.0,0.0
06351,16171.0,38.3,65904.0,32059.0,1351.0,268.0,8.354461690680848
06353,37.0,-666666666.0,-666666666.0,,0.0,0.0,0.0
06354,6333.0,43.1,60344.0,27835.0,632.0,244.0,9.979472603821254
06355,12310.0,51.1,88533.0,53105.0,833.0,158.0,6.766856214459788
06357,12023.0,48.6,75466.0,41108.0,454.0,446.0,3.776095816351992
06359,5318.0,46.5,72880.0,35715.0,223.0,76.0,4.193305754042873
06360,37153.0,37.0,52275.0,27919.0,5923.0,885.0,15.94218501870643
06365,4716.0,45.3,69439.0,33182.0,367.0,31.0,7.782018659881255
06370,7418.0,39.7,90610.0,36342.0,540.0,33.0,7.279590186033971
06371,9668.0,51.6,87904.0,51428.0,218.0,607.0,2.254861398427803
06373,358.0,36.8,38869.0,18726.0,179.0,0.0,50.0
06374,7601.0,43.9,68205.0,29371.0,358.0,154.0,4.709906591237995
06375,3820.0,44.8,89677.0,38544.0,204.0,88.0,5.340314136125654
06376,263.0,52.6,-666666666.0,34630.0,0.0,52.0,0.0
06377,2818.0,40.9,71958.0,29332.0,71.0,23.0,2.5195173882185946
06378,5350.0,52.2,96100.0,62658.0,316.0,169.0,5.906542056074766
06379,9135.0,43.3,64267.0,32566.0,1023.0,147.0,11.198686371100164
06380,2858.0,35.5,43084.0,26590.0,349.0,82.0,12.211336599020294
06382,11844.0,43.4,61044.0,27154.0,929.0,217.0,7.843633907463695
06384,2887.0,41.6,74310.0,30892.0,125.0,53.0,4.329754069968826
06385,15666.0,48.7,75702.0,40784.0,956.0,401.0,6.102387335631303
06387,320.0,27.5,36029.0,15447.0,15.0,0.0,4.6875
06389,30.0,-666666666.0,-666666666.0,,0.0,0.0,0.0
06390,303.0,51.0,152652.0,66379.0,2.0,55.0,0.6600660066006601
06401,18934.0,39.1,43336.0,23909.0,3896.0,388.0,20.576740255624802
06403,6075.0,43.3,84570.0,37459.0,311.0,181.0,5.1193415637860085
06405,27901.0,47.3,71678.0,44247.0,1631.0,765.0,5.845668614028171
06409,547.0,53.0,-666666666.0,38244.0,31.0,16.0,5.6672760511883
06410,29189.0,45.1,108432.0,45179.0,639.0,681.0,2.189180855801843
06412,4290.0,51.1,76648.0,43323.0,201.0,47.0,4.685314685314685
06413,13055.0,46.2,73804.0,39100.0,1287.0,366.0,9.858291842206052
06414,113.0,62.1,94167.0,41860.0,0.0,0.0,0.0
06415,16938.0,41.0,98787.0,41248.0,749.0,254.0,4.422009682371
06416,14049.0,44.7,83739.0,43171.0,714.0,291.0,5.082212257100149
06417,4552.0,45.2,69861.0,42427.0,216.0,95.0,4.745166959578207
06418,12771.0,39.0,55398.0,28882.0,1593.0,281.0,12.473572938689218
06419,6464.0,48.2,103295.0,47236.0,154.0,121.0,2.382425742574257
06420,4259.0,40.6,105000.0,45626.0,162.0,43.0,3.8037097910307582
06422,7322.0,45.1,114491.0,55752.0,219.0,69.0,2.990986069379951
06423,5050.0,45.6,79318.0,45826.0,114.0,76.0,2.257425742574257
06424,12824.0,44.7,96146.0,40641.0,675.0,263.0,5.2635683094198376
06426,3071.0,60.8,100536.0,62673.0,193.0,89.0,6.2845978508629115
06437,22382.0,48.0,102199.0,55566.0,929.0,339.0,4.150656777767849
06438,2656.0,39.0,88432.0,42893.0,138.0,92.0,5.195783132530121
06441,5328.0,47.8,105526.0,48201.0,298.0,63.0,5.593093093093093
06442,2976.0,47.5,76739.0,42366.0,88.0,0.0,2.956989247311828
06443,18247.0,47.5,105673.0,52847.0,429.0,354.0,2.3510714089987395
06444,214.0,29.8,-666666666.0,25608.0,0.0,0.0,0.0
06447,6426.0,44.2,103276.0,45136.0,133.0,0.0,2.0697167755991286
06450,35907.0,41.8,58361.0,31371.0,4245.0,1170.0,11.822207369036677
06451,24434.0,39.9,51926.0,29502.0,3200.0,1096.0,13.096504870262748
06455,3323.0,49.1,109706.0,48824.0,96.0,96.0,2.888955762864881
06456,260.0,57.6,-666666666.0,70554.0,43.0,0.0,16.53846153846154
06457,46933.0,36.4,63828.0,35074.0,4888.0,890.0,10.414846696354378
06460,38233.0,44.5,80776.0,41746.0,2740.0,1903.0,7.166583841184317
06461,15197.0,43.5,85417.0,40954.0,974.0,228.0,6.409159702572876
06467,365.0,50.5,104750.0,27165.0,0.0,34.0,0.0
06468,19784.0,44.1,113333.0,50195.0,703.0,271.0,3.5533764658309743
06469,3132.0,45.0,81615.0,35335.0,223.0,17.0,7.120051085568327
06470,16612.0,45.1,113158.0,50837.0,614.0,155.0,3.6961232843727427
06471,7733.0,47.5,84385.0,46937.0,202.0,114.0,2.6121815595499807
06472,6760.0,45.9,85929.0,38326.0,322.0,101.0,4.763313609467455
06473,24298.0,45.2,94344.0,40784.0,925.0,1258.0,3.8068976870524325
06475,10174.0,50.6,75237.0,45791.0,511.0,325.0,5.022606644387655
06477,13941.0,45.4,106475.0,50659.0,480.0,319.0,3.443081557994405
06478,12916.0,44.0,99311.0,39670.0,430.0,449.0,3.3292040879529265
00601,17800.0,38.6,11507.0,7229.0,11078.0,97.0,62.235955056179776
00602,39716.0,40.0,15511.0,8570.0,21615.0,131.0,54.423909759290964
00603,51565.0,40.0,16681.0,10154.0,25331.0,1484.0,49.124406089401724
00606,6320.0,42.4,11648.0,5631.0,4047.0,195.0,64.03481012658227
00610,27976.0,40.6,17751.0,8589.0,13734.0,515.0,49.09207892479268
00612,63884.0,40.7,17208.0,9789.0,30411.0,1254.0,47.60346878717676
00616,10321.0,43.9,14490.0,8662.0,5152.0,174.0,49.91764363918225
00617,24648.0,38.1,15645.0,8257.0,12921.0,175.0,52.42210321324245
00622,7385.0,45.9,16784.0,11671.0,4077.0,49.0,55.206499661475966
00623,42711.0,41.2,17134.0,9515.0,20978.0,226.0,49.116152747535764
