Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,State,Poverty Rate
00754,38636.0,40.1,18594.0,10482.0,17606.0,541.0,45.56889947199503
00757,22475.0,37.2,16816.0,10478.0,11045.0,224.0,49.143492769744164
00765,8721.0,41.3,16149.0,11211.0,3226.0,258.0,36.99117073730077
00766,23931.0,37.8,19595.0,10406.0,11955.0,315.0,49.95612385608625
00767,35042.0,41.6,15573.0,8668.0,18314.0,465.0,52.26299868728954
00769,39605.0,39.4,19215.0,10328.0,19083.0,638.0,48.18331018810756
00771,37705.0,38.0,20332.0,10254.0,17258.0,72.0,45.77111788887415
00772,20784.0,37.2,15032.0,7516.0,12014.0,180.0,57.804080061585836
00773,18952.0,39.8,19377.0,10434.0,8649.0,146.0,45.636344449134654
00775,1480.0,39.1,23092.0,11291.0,615.0,30.0,41.554054054054056
00777,40611.0,37.7,18684.0,9220.0,20541.0,272.0,50.57989214744774
00778,46852.0,38.3,32708.0,16622.0,14361.0,265.0,30.65183983607957
00780,11679.0,38.0,21834.0,14409.0,4591.0,67.0,39.30987242058396
00782,18196.0,37.7,13073.0,6996.0,10576.0,361.0,58.12266432182897
00783,34240.0,37.9,14476.0,7823.0,19045.0,346.0,55.62207943925234
00784,41417.0,37.6,15653.0,9317.0,21515.0,759.0,51.94726803003598
00786,249.0,65.8,-666666666.0,13990.0,51.0,0.0,20.481927710843372
00791,49551.0,41.3,18595.0,11926.0,22625.0,375.0,45.660027042844746
00794,29296.0,35.4,15667.0,7702.0,17589.0,340.0,60.03891316220644
00795,45573.0,37.8,20430.0,10164.0,21540.0,720.0,47.26482785860049
00901,6540.0,41.3,16929.0,27466.0,2754.0,450.0,42.11009174311926
00906,91.0,41.2,101346.0,70076.0,14.0,0.0,15.384615384615385
00907,16819.0,48.6,32601.0,38603.0,4426.0,1441.0,26.315476544384328
00909,5430.0,38.7,17959.0,15141.0,2598.0,484.0,47.84530386740332
00911,7617.0,47.8,30978.0,28595.0,2230.0,445.0,29.276618091111985
00912,5920.0,42.4,21744.0,15777.0,2455.0,420.0,41.4695945945946
00913,8495.0,26.2,5902.0,7158.0,6933.0,1796.0,81.61271336080047
00915,27534.0,38.9,14048.0,9136.0,16416.0,2810.0,59.620832425365
00917,18316.0,45.9,15508.0,13829.0,9395.0,906.0,51.29395064424547
00918,16595.0,42.3,23333.0,20852.0,6819.0,885.0,41.09068996685749
00920,16698.0,45.0,25433.0,14906.0,5291.0,1462.0,31.68642951251647
00921,35161.0,38.7,18690.0,12707.0,16019.0,665.0,45.5590000284406
00923,24754.0,39.3,14041.0,10907.0,14208.0,1088.0,57.39678435808354
00924,51699.0,38.2,19303.0,12558.0,23609.0,798.0,45.66626046925472
00925,6796.0,34.6,9903.0,10804.0,4145.0,565.0,60.99175985874044
00926,99106.0,43.0,33624.0,22687.0,29413.0,1313.0,29.67832421851351
00927,13503.0,45.9,32932.0,25107.0,3605.0,202.0,26.697770865733542
00934,25.0,-666666666.0,-666666666.0,,0.0,11.0,0.0
00936,749.0,72.1,-666666666.0,8875.0,0.0,0.0,0.0
00949,76058.0,39.0,26032.0,12924.0,25943.0,813.0,34.10949538510084
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,
00952,8467.0,42.3,15434.0,8998.0,3983.0,129.0,47.041455060824376
00953,72608.0,37.1,29837.0,14360.0,21593.0,256.0,29.73914720141031
00956,68452.0,40.4,23322.0,12226.0,25233.0,363.0,36.862326885993106
00957,40738.0,40.2,24438.0,13000.0,15055.0,506.0,36.95566792675144
00959,47849.0,40.2,29737.0,15979.0,14152.0,808.0,29.57637568183243
00960,2454.0,33.2,-666666666.0,3972.0,19.0,0.0,0.7742461287693562
00961,31017.0,42.3,28455.0,16714.0,9469.0,175.0,30.528419898765193
00962,19864.0,37.1,16135.0,9871.0,10780.0,483.0,54.269029399919454
00965,7659.0,41.7,15369.0,11228.0,4083.0,91.0,53.309831570701135
00966,16169.0,45.3,51318.0,36677.0,2938.0,137.0,18.170573319314737
00968,3368.0,58.1,45811.0,43889.0,498.0,6.0,14.78622327790974
00969,43216.0,40.4,51604.0,27897.0,7746.0,198.0,17.923917067752683
00971,27449.0,43.6,20604.0,14718.0,10330.0,263.0,37.63342926882582
00976,60134.0,39.4,30801.0,16208.0,18527.0,265.0,30.80952539328832
00979,15203.0,48.4,34284.0,29494.0,2727.0,362.0,17.937249227126227
00982,14514.0,44.3,25935.0,14037.0,5287.0,173.0,36.42689816728676
00983,36687.0,41.1,27149.0,13585.0,11804.0,410.0,32.17488483659062
00985,32750.0,41.5,24834.0,13531.0,10466.0,302.0,31.957251908396948
00987,58583.0,38.7,32967.0,16557.0,14378.0,413.0,24.542956147687896
01001,17537.0,45.8,57694.0,33135.0,1557.0,678.0,8.878371443234304
01002,30280.0,23.6,52379.0,27657.0,7851.0,246.0,25.928005284015853
01003,11131.0,19.9,2499.0,4370.0,57.0,0.0,0.5120833707663283
